;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
304;2.3;0.3|0.55|0.8;1.6500000000000001;0.6499999999999997;1;1012;0.0009881422924901185;0.7173913043478262;0.2826086956521738
305;2.3;0.3|0.65|1.1;2.05;0.25;1;1012;0.0009881422924901185;0.8913043478260869;0.10869565217391305
306;2.3;0.3|0.65|;0.95;1.3499999999999999;1;1012;0.0009881422924901185;0.41304347826086957;0.5869565217391304
307;2.3;0.3|0.75|;1.05;1.2499999999999998;1;1012;0.0009881422924901185;0.4565217391304348;0.5434782608695652
309;2.3;0.45|0.45|0.55|0.55|;2.0;0.2999999999999998;1;1012;0.0009881422924901185;0.8695652173913044;0.1304347826086956
310;2.3;0.45|0.45|0.5|0.5|;1.9;0.3999999999999999;1;1012;0.0009881422924901185;0.8260869565217391;0.17391304347826084
311;2.3;0.45|0.55|0.75;1.75;0.5499999999999998;1;1012;0.0009881422924901185;0.7608695652173914;0.23913043478260865
313;2.3;0.45|0.5|;0.95;1.3499999999999999;1;1012;0.0009881422924901185;0.41304347826086957;0.5869565217391304
314;2.3;0.45|0.65|0.75;1.85;0.44999999999999973;1;1012;0.0009881422924901185;0.8043478260869567;0.19565217391304338
315;2.3;0.45|0.65|;1.1;1.1999999999999997;1;1012;0.0009881422924901185;0.47826086956521746;0.5217391304347825
319;2.3;0.4|0.45|0.45;1.3;0.9999999999999998;1;1012;0.0009881422924901185;0.5652173913043479;0.4347826086956521
320;2.3;0.4|0.5|0.55;1.4500000000000002;0.8499999999999996;1;1012;0.0009881422924901185;0.6304347826086958;0.3695652173913042
326;2.3;0.4|0.6|0.7;1.7;0.5999999999999999;1;1012;0.0009881422924901185;0.7391304347826088;0.26086956521739124
327;2.3;0.4|0.6|0.8;1.8;0.4999999999999998;1;1012;0.0009881422924901185;0.782608695652174;0.217391304347826
328;2.3;0.4|0.6|1.2;2.2;0.09999999999999964;1;1012;0.0009881422924901185;0.9565217391304349;0.043478260869565064
330;2.3;0.4|0.7|1.2;2.3;0.0;1;1012;0.0009881422924901185;1.0;0.0
332;2.3;0.4|0.8|;1.2000000000000002;1.0999999999999996;1;1012;0.0009881422924901185;0.5217391304347827;0.4782608695652173
335;2.3;0.55|0.55|0.6|0.6|;2.3000000000000003;-4.440892098500626e-16;1;1012;0.0009881422924901185;1.0000000000000002;-1.9308226515220116e-16
337;2.3;0.55|0.7|0.8;2.05;0.25;1;1012;0.0009881422924901185;0.8913043478260869;0.10869565217391305
340;2.3;0.5|0.5|0.5;1.5;0.7999999999999998;1;1012;0.0009881422924901185;0.6521739130434783;0.3478260869565217
342;2.3;0.5|0.6|0.7;1.8;0.4999999999999998;1;1012;0.0009881422924901185;0.782608695652174;0.217391304347826
343;2.3;0.5|0.6|0.8;1.9000000000000001;0.3999999999999997;1;1012;0.0009881422924901185;0.8260869565217392;0.17391304347826075
346;2.3;0.5|0.8|0.9;2.2;0.09999999999999964;1;1012;0.0009881422924901185;0.9565217391304349;0.043478260869565064
347;2.3;0.5|0.8|1.0;2.3;0.0;1;1012;0.0009881422924901185;1.0;0.0
355;2.3;0.65|0.8|;1.4500000000000002;0.8499999999999996;1;1012;0.0009881422924901185;0.6304347826086958;0.3695652173913042
364;2.3;0.6|1.0|;1.6;0.6999999999999997;1;1012;0.0009881422924901185;0.6956521739130436;0.30434782608695643
367;2.3;0.75|1.0|;1.75;0.5499999999999998;1;1012;0.0009881422924901185;0.7608695652173914;0.23913043478260865
369;2.3;0.7|0.75|;1.45;0.8499999999999999;1;1012;0.0009881422924901185;0.6304347826086957;0.3695652173913043
